campaign_member_id,person_record_id,entity_type,campaign_id,campaign_name,campaign_type,member_status,is_responded,response_date,is_automated,is_active,scoring_person_id
CM000001,L00282,Lead,CAM0025,Event Campaign 025,Event,Sent,False,2023-02-24,True,True,L00282
CM000002,L00282,Lead,CAM0030,Event Campaign 030,Event,Sent,False,2023-09-22,True,True,L00282
CM000003,L00282,Lead,CAM0035,Event Campaign 035,Event,Sent,False,2025-01-14,True,True,L00282
CM000004,L00282,Lead,CAM0012,Telemarketing Campaign 012,Telemarketing,Responded,True,2023-11-10,False,True,L00282
CM000005,L00282,Lead,CAM0029,Webinar Campaign 029,Webinar,Sent,False,2024-02-03,True,True,L00282
CM000006,L00282,Lead,CAM0048,Event Campaign 048,Event,Sent,False,2025-08-11,True,True,L00282
CM000007,L00282,Lead,CAM0023,Webinar Campaign 023,Webinar,Sent,False,2024-05-05,True,False,L00282
CM000008,L00282,Lead,CAM0058,Webinar Campaign 058,Webinar,Sent,False,2026-05-21,True,True,L00282
CM000009,L00282,Lead,CAM0026,Telemarketing Campaign 026,Telemarketing,Sent,False,2024-01-06,True,True,L00282
CM000010,L00282,Lead,CAM0047,Advertisement Campaign 047,Advertisement,Sent,False,2025-06-16,True,True,L00282
CM000011,L00282,Lead,CAM0007,Advertisement Campaign 007,Advertisement,Sent,False,2023-12-12,True,True,L00282
CM000012,L00282,Lead,CAM0052,Advertisement Campaign 052,Advertisement,Sent,False,2025-05-11,True,True,L00282
CM000013,L00282,Lead,CAM0029,Webinar Campaign 029,Webinar,Sent,False,2024-02-17,True,True,L00282
CM000014,L00282,Lead,CAM0060,Event Campaign 060,Event,Sent,False,2026-05-07,True,False,L00282
CM000015,L00282,Lead,CAM0043,Webinar Campaign 043,Webinar,Sent,False,2025-10-18,True,True,L00282
CM000016,L00282,Lead,CAM0045,Email Campaign 045,Email,Sent,False,2025-04-23,True,True,L00282
CM000017,L00282,Lead,CAM0009,Webinar Campaign 009,Webinar,Sent,False,2024-07-30,True,True,L00282
CM000018,L00282,Lead,CAM0035,Event Campaign 035,Event,Sent,False,2025-01-16,True,True,L00282
CM000019,L00282,Lead,CAM0045,Email Campaign 045,Email,Sent,False,2025-04-24,True,True,L00282
CM000020,L00282,Lead,CAM0049,Webinar Campaign 049,Webinar,Registered,True,2025-10-09,False,True,L00282
CM000021,L00282,Lead,CAM0023,Webinar Campaign 023,Webinar,Sent,False,2024-05-10,True,True,L00282
CM000022,L00282,Lead,CAM0034,Webinar Campaign 034,Webinar,Sent,False,2024-05-18,True,True,L00282
CM000023,L00282,Lead,CAM0011,Webinar Campaign 011,Webinar,Sent,False,2024-01-08,True,True,L00282
CM000024,L00282,Lead,CAM0026,Telemarketing Campaign 026,Telemarketing,Sent,False,2023-12-21,True,True,L00282
CM000025,L00282,Lead,CAM0029,Webinar Campaign 029,Webinar,Sent,False,2024-01-19,True,True,L00282
CM000026,L00282,Lead,CAM0002,Telemarketing Campaign 002,Telemarketing,Sent,False,2023-03-11,True,True,L00282
CM000027,L00282,Lead,CAM0055,Advertisement Campaign 055,Advertisement,Sent,False,2025-10-14,True,True,L00282
CM000028,L00282,Lead,CAM0039,Advertisement Campaign 039,Advertisement,Sent,False,2025-01-19,True,True,L00282
CM000029,L00282,Lead,CAM0011,Webinar Campaign 011,Webinar,Sent,False,2024-01-06,True,True,L00282
CM000030,L00282,Lead,CAM0054,Email Campaign 054,Email,Sent,False,2025-12-28,True,True,L00282
CM000031,L00282,Lead,CAM0042,Advertisement Campaign 042,Advertisement,Sent,False,2025-12-18,True,False,L00282
CM000032,L00282,Lead,CAM0042,Advertisement Campaign 042,Advertisement,Clicked,True,2025-12-17,False,True,L00282
CM000033,L00282,Lead,CAM0056,Webinar Campaign 056,Webinar,Sent,False,2026-05-09,True,True,L00282
CM000034,L00282,Lead,CAM0025,Event Campaign 025,Event,Sent,False,2023-03-02,True,True,L00282
CM000035,L00282,Lead,CAM0022,Event Campaign 022,Event,Sent,False,2024-05-19,True,True,L00282
CM000036,L00282,Lead,CAM0038,Email Campaign 038,Email,Responded,True,2023-02-05,False,True,L00282
CM000037,L00282,Lead,CAM0054,Email Campaign 054,Email,Sent,False,2025-12-15,True,True,L00282
CM000038,L00282,Lead,CAM0049,Webinar Campaign 049,Webinar,Sent,False,2025-10-08,True,False,L00282
CM000039,L00282,Lead,CAM0048,Event Campaign 048,Event,Sent,False,2025-08-03,True,False,L00282
CM000040,L00282,Lead,CAM0046,Webinar Campaign 046,Webinar,Sent,False,2025-12-30,True,True,L00282
CM000041,L00560,Lead,CAM0060,Event Campaign 060,Event,Registered,True,2026-04-27,False,True,L00560
CM000042,L00560,Lead,CAM0008,Email Campaign 008,Email,Sent,False,2023-05-08,True,True,L00560
CM000043,L00007,Lead,CAM0059,Content Syndication Campaign 059,Content Syndication,Responded,True,2026-04-27,False,True,L00007
CM000044,L00007,Lead,CAM0051,Webinar Campaign 051,Webinar,Attended,True,2025-03-28,False,True,L00007
CM000045,L00007,Lead,CAM0002,Telemarketing Campaign 002,Telemarketing,Sent,False,2023-02-16,False,True,L00007
CM000046,L00479,Lead,CAM0035,Event Campaign 035,Event,No Show,True,2024-12-27,False,False,L00479
CM000047,L00479,Lead,CAM0055,Advertisement Campaign 055,Advertisement,Sent,False,2025-09-21,False,True,L00479
